 title="zbzh"
 variables ="r","z","T(K)"
* zone t= "chamber",i= 25 , j= 49 , f= point
 25  49 
    0.0086    0.1092   2445.56
    0.0097    0.1092   2445.82
    0.0109    0.1092   2446.12
    0.0121    0.1092   2446.46
    0.0133    0.1092   2446.85
    0.0144    0.1092   2447.29
    0.0158    0.1092   2447.90
    0.0175    0.1092   2448.73
    0.0192    0.1092   2449.70
    0.0208    0.1092   2450.86
    0.0225    0.1092   2452.27
    0.0242    0.1092   2454.00
    0.0254    0.1092   2455.56
    0.0261    0.1092   2456.67
    0.0269    0.1092   2457.93
    0.0276    0.1092   2459.38
    0.0286    0.1092   2461.59
    0.0299    0.1092   2465.08
    0.0000    0.1115   2440.75
    0.0007    0.1115   2440.75
    0.0020    0.1115   2440.79
    0.0033    0.1115   2440.85
    0.0047    0.1115   2440.96
    0.0060    0.1115   2441.10
    0.0073    0.1115   2441.28
    0.0086    0.1115   2441.46
    0.0097    0.1115   2441.68
    0.0109    0.1115   2441.93
    0.0121    0.1115   2442.21
    0.0133    0.1115   2442.51
    0.0144    0.1115   2442.85
    0.0158    0.1115   2443.42
    0.0175    0.1115   2444.06
    0.0192    0.1115   2444.83
    0.0208    0.1115   2445.77
    0.0225    0.1115   2446.91
    0.0242    0.1115   2448.36
    0.0254    0.1115   2449.48
    0.0261    0.1115   2450.49
    0.0269    0.1115   2451.65
    0.0276    0.1115   2452.99
    0.0286    0.1115   2455.31
    0.0299    0.1115   2461.63
    0.0000    0.1145   2441.50
    0.0007    0.1145   2441.50
    0.0020    0.1145   2441.54
    0.0033    0.1145   2441.62
    0.0047    0.1145   2441.73
    0.0060    0.1145   2441.89
    0.0073    0.1145   2442.08
    0.0086    0.1145   2442.30
    0.0097    0.1145   2442.54
    0.0109    0.1145   2442.82
    0.0121    0.1145   2443.13
    0.0133    0.1145   2443.49
    0.0144    0.1145   2443.89
    0.0158    0.1145   2444.45
    0.0175    0.1145   2445.20
    0.0192    0.1145   2446.09
    0.0208    0.1145   2447.15
    0.0225    0.1145   2448.43
    0.0242    0.1145   2450.01
    0.0254    0.1145   2451.45
    0.0261    0.1145   2452.46
    0.0269    0.1145   2453.62
    0.0276    0.1145   2454.95
    0.0286    0.1145   2456.97
    0.0299    0.1145   2460.15
    0.0000    0.1175   2442.21
    0.0007    0.1175   2442.21
    0.0020    0.1175   2442.25
    0.0033    0.1175   2442.33
    0.0047    0.1175   2442.46
    0.0060    0.1175   2442.63
    0.0073    0.1175   2442.84
    0.0086    0.1175   2443.08
    0.0097    0.1175   2443.34
    0.0109    0.1175   2443.64
    0.0121    0.1175   2443.98
    0.0133    0.1175   2444.37
    0.0144    0.1175   2444.79
    0.0158    0.1175   2445.37
    0.0175    0.1175   2446.16
    0.0192    0.1175   2447.07
    0.0208    0.1175   2448.11
    0.0225    0.1175   2449.31
    0.0242    0.1175   2450.67
    0.0254    0.1175   2451.78
    0.0261    0.1175   2452.50
    0.0269    0.1175   2453.23
    0.0276    0.1175   2453.97
    0.0286    0.1175   2454.92
    0.0299    0.1175   2455.89
    0.0000    0.1205   2442.52
    0.0007    0.1205   2442.52
    0.0020    0.1205   2442.57
    0.0033    0.1205   2442.65
    0.0047    0.1205   2442.79
    0.0060    0.1205   2442.96
    0.0073    0.1205   2443.18
    0.0086    0.1205   2443.43
    0.0097    0.1205   2443.70
    0.0109    0.1205   2444.01
    0.0121    0.1205   2444.35
    0.0133    0.1205   2444.74
    0.0144    0.1205   2445.17
    0.0158    0.1205   2445.74
    0.0175    0.1205   2446.50
    0.0192    0.1205   2447.35
    0.0208    0.1205   2448.31
    0.0225    0.1205   2449.36
    0.0242    0.1205   2450.51
    0.0254    0.1205   2451.40
    0.0261    0.1205   2451.96
    0.0269    0.1205   2452.52
    0.0276    0.1205   2453.10
    0.0286    0.1205   2453.86
    0.0299    0.1205   2454.79
    0.0000    0.1235   2442.44
    0.0007    0.1235   2442.44
    0.0020    0.1235   2442.48
    0.0033    0.1235   2442.57
    0.0047    0.1235   2442.70
    0.0060    0.1235   2442.88
    0.0073    0.1235   2443.10
    0.0086    0.1235   2443.35
    0.0097    0.1235   2443.62
    0.0109    0.1235   2443.92
    0.0121    0.1235   2444.26
    0.0133    0.1235   2444.64
    0.0144    0.1235   2445.05
    0.0158    0.1235   2445.60
    0.0175    0.1235   2446.31
    0.0192    0.1235   2447.10
    0.0208    0.1235   2447.96
    0.0225    0.1235   2448.88
    0.0242    0.1235   2449.87
    0.0254    0.1235   2450.61
    0.0261    0.1235   2451.08
    0.0269    0.1235   2451.55
    0.0276    0.1235   2452.02
    0.0286    0.1235   2452.66
    0.0299    0.1235   2453.44
    0.0000    0.1265   2441.94
    0.0007    0.1265   2441.94
    0.0020    0.1265   2441.98
    0.0033    0.1265   2442.07
    0.0047    0.1265   2442.20
    0.0060    0.1265   2442.38
    0.0073    0.1265   2442.60
    0.0086    0.1265   2442.85
    0.0097    0.1265   2443.11
    0.0109    0.1265   2443.41
    0.0121    0.1265   2443.74
    0.0133    0.1265   2444.11
    0.0144    0.1265   2444.50
    0.0158    0.1265   2445.02
    0.0175    0.1265   2445.69
    0.0192    0.1265   2446.42
    0.0208    0.1265   2447.20
    0.0225    0.1265   2448.03
    0.0242    0.1265   2448.89
    0.0254    0.1265   2449.54
    0.0261    0.1265   2449.95
    0.0269    0.1265   2450.36
    0.0276    0.1265   2450.77
    0.0286    0.1265   2451.33
    0.0299    0.1265   2452.04
    0.0000    0.1286   2441.31
    0.0007    0.1286   2441.31
    0.0020    0.1286   2441.35
    0.0033    0.1286   2441.44
    0.0047    0.1286   2441.57
    0.0060    0.1286   2441.75
    0.0073    0.1286   2441.97
    0.0086    0.1286   2442.22
    0.0097    0.1286   2442.48
    0.0109    0.1286   2442.78
    0.0121    0.1286   2443.11
    0.0133    0.1286   2443.47
    0.0144    0.1286   2443.85
    0.0158    0.1286   2444.36
    0.0175    0.1286   2445.01
    0.0192    0.1286   2445.71
    0.0208    0.1286   2446.45
    0.0225    0.1286   2447.24
    0.0242    0.1286   2448.05
    0.0254    0.1286   2448.65
    0.0261    0.1286   2449.02
    0.0269    0.1286   2449.40
    0.0276    0.1286   2449.77
    0.0286    0.1286   2450.25
    0.0299    0.1286   2450.81
    0.0000    0.1297   2440.91
    0.0007    0.1297   2440.91
    0.0020    0.1297   2440.95
    0.0033    0.1297   2441.04
    0.0047    0.1297   2441.17
    0.0060    0.1297   2441.35
    0.0073    0.1297   2441.57
    0.0086    0.1297   2441.82
    0.0097    0.1297   2442.09
    0.0109    0.1297   2442.38
    0.0121    0.1297   2442.71
    0.0133    0.1297   2443.06
    0.0144    0.1297   2443.45
    0.0158    0.1297   2443.95
    0.0175    0.1297   2444.59
    0.0192    0.1297   2445.28
    0.0208    0.1297   2446.01
    0.0225    0.1297   2446.77
    0.0242    0.1297   2447.56
    0.0254    0.1297   2448.14
    0.0261    0.1297   2448.50
    0.0269    0.1297   2448.86
    0.0276    0.1297   2449.22
    0.0286    0.1297   2449.69
    0.0299    0.1297   2450.26
    0.0000    0.1308   2440.44
    0.0007    0.1308   2440.44
    0.0020    0.1308   2440.49
    0.0033    0.1308   2440.58
    0.0047    0.1308   2440.72
    0.0060    0.1308   2440.89
    0.0073    0.1308   2441.12
    0.0086    0.1308   2441.37
    0.0097    0.1308   2441.63
    0.0109    0.1308   2441.93
    0.0121    0.1308   2442.25
    0.0133    0.1308   2442.61
    0.0144    0.1308   2442.99
    0.0158    0.1308   2443.49
    0.0175    0.1308   2444.12
    0.0192    0.1308   2444.80
    0.0208    0.1308   2445.52
    0.0225    0.1308   2446.27
    0.0242    0.1308   2447.04
    0.0254    0.1308   2447.61
    0.0261    0.1308   2447.96
    0.0269    0.1308   2448.31
    0.0276    0.1308   2448.66
    0.0286    0.1308   2449.13
    0.0299    0.1308   2449.70
    0.0000    0.1319   2439.92
    0.0007    0.1319   2439.92
